id,brand_name,pid,review_id,rating,title,comment,review_date,product_url,author_name,verified_purchase,helpful_count,country,createdAt,updatedAt
10801,Pepe,SRTFFFUD8AZAJJDY,d549e95bb8e1e0afca454957,5,Perfect product!,Great 👍,2026-05-01,https://www.flipkart.com/x/p/x?pid=SRTFFFUD8AZAJJDY,Rakesh Bala samanta,t,0,India,2026-08-11 13:39:09.089+05:30,2026-08-11 13:39:09.089+05:30
529,Pepe,BXRGZJCWYYCZQ9PZ,508d03798d2e0c0d58c984af,3,Nice,Ok it's good but unfortunately I ordered black strap but ii came olive green anyway Nyc product,2026-06-01,https://www.flipkart.com/x/p/x?pid=BXRGZJCWYYCZQ9PZ,Srinivas,t,0,India,2026-07-02 14:27:07.227+05:30,2026-08-11 12:38:36.223+05:30
162,Pepe,TSHHCKSGDRPZGMHU,9d400fc00feb5230ba6c27cf,5,Super!,Nice,2026-06-30,https://www.flipkart.com/x/p/x?pid=TSHHCKSGDRPZGMHU,KASIVISWESWARARAO GIDUTHURI,t,0,India,2026-07-02 11:49:24.295+05:30,2026-07-02 15:03:47.692+05:30
12,Pepe,SRTGSYQGKNWEKJRC,db4b05709cf680a52172d921,4,Delightful,Ok,2026-06-29,https://www.flipkart.com/x/p/x?pid=SRTGSYQGKNWEKJRC,Nagesh Thorat,t,0,India,2026-07-01 18:40:02.851+05:30,2026-07-02 14:41:25.912+05:30
5832,Pepe,BXRGZJCWYYCZQ9PZ,e77f0b0e982ed1772d1a772f,5,Worth every penny,Very comfortable,2026-05-01,https://www.flipkart.com/x/p/x?pid=BXRGZJCWYYCZQ9PZ,Amardip Kumar Sah,t,0,India,2026-08-06 16:04:31.206+05:30,2026-08-11 12:38:36.223+05:30
13,Pepe,SRTGSYQGMGZZC5A6,f54f193a3967342dca8bdec9,4,Delightful,Ok,2026-06-29,https://www.flipkart.com/x/p/x?pid=SRTGSYQGMGZZC5A6,Nagesh Thorat,t,0,India,2026-07-01 18:40:12.273+05:30,2026-07-02 14:41:35.104+05:30
2161,Pepe,SRTHZA67CMV4HG5P,84c70f47ae8cd866c9b3cc0e,5,Wonderful,Value of money,2026-07-14,https://www.flipkart.com/x/p/x?pid=SRTHZA67CMV4HG5P,Flipkart Customer,t,0,India,2026-08-05 14:10:43.765+05:30,2026-08-11 14:27:51.491+05:30
5,Pepe,BXRHFQXCVGA9H3CZ,40c30e6f953bcb203ffc48b0,5,Awesome,Good product 👍,2026-06-29,https://www.flipkart.com/x/p/x?pid=BXRHFQXCVGA9H3CZ,RAHUL RANJAN,t,0,India,2026-07-01 18:37:39.382+05:30,2026-07-02 14:32:43.216+05:30
6,Pepe,BXRHFQXCVGA9H3CZ,a576bd2b34f10ee77641b371,4,Pretty good,"Awesome product, material quality is very good and comfortable.value of money.",2026-06-27,https://www.flipkart.com/x/p/x?pid=BXRHFQXCVGA9H3CZ,Flipkart Customer,t,0,India,2026-07-01 18:37:39.382+05:30,2026-07-02 14:32:43.216+05:30
7,Pepe,BXRHFS5FHHMGH7HH,48a4c25b966319cb7814d01b,5,Awesome,Good product 👍,2026-06-29,https://www.flipkart.com/x/p/x?pid=BXRHFS5FHHMGH7HH,RAHUL RANJAN,t,0,India,2026-07-01 18:37:48.698+05:30,2026-07-02 14:32:52.855+05:30
8,Pepe,BXRHFS5FHHMGH7HH,a03ab821e78fa301b035b0d5,4,Pretty good,"Awesome product, material quality is very good and comfortable.value of money.",2026-06-27,https://www.flipkart.com/x/p/x?pid=BXRHFS5FHHMGH7HH,Flipkart Customer,t,0,India,2026-07-01 18:37:48.698+05:30,2026-07-02 14:32:52.855+05:30
10,Pepe,SRTGSYQG33X94BQH,309bec019202febffb900de5,4,Delightful,Ok,2026-06-29,https://www.flipkart.com/x/p/x?pid=SRTGSYQG33X94BQH,Nagesh Thorat,t,0,India,2026-07-01 18:39:43.522+05:30,2026-07-02 14:40:57.976+05:30
14,Pepe,SRTGSYQGQPJEP8SR,4e4746a3499f69d711e1b049,4,Delightful,Ok,2026-06-29,https://www.flipkart.com/x/p/x?pid=SRTGSYQGQPJEP8SR,Nagesh Thorat,t,0,India,2026-07-01 18:40:20.855+05:30,2026-07-02 14:41:44.786+05:30
15,Pepe,SRTGSYQGXBGUJYRQ,952caedda75ac05e4377763f,4,Delightful,Ok,2026-06-29,https://www.flipkart.com/x/p/x?pid=SRTGSYQGXBGUJYRQ,Nagesh Thorat,t,0,India,2026-07-01 18:40:29.073+05:30,2026-07-02 14:42:04.295+05:30
16,Pepe,SRTGSYQGYYGHFF5Y,c4e35a3f717b760e0d63f436,4,Delightful,Ok,2026-06-29,https://www.flipkart.com/x/p/x?pid=SRTGSYQGYYGHFF5Y,Nagesh Thorat,t,0,India,2026-07-01 18:40:38.707+05:30,2026-07-02 14:42:14.5+05:30
17,Pepe,SRTHDH2J2ZEZZYYT,2c5f91db7e317304d2c6f46c,4,Delightful,Ok,2026-06-29,https://www.flipkart.com/x/p/x?pid=SRTHDH2J2ZEZZYYT,Nagesh Thorat,t,0,India,2026-07-01 18:40:47.26+05:30,2026-07-02 14:42:42.095+05:30
45,Pepe,TKPH5URAFZJ9YSGG,0b90134c3b96fd09181f4446,5,Just wow!,"Excellent Product @ very reasonable price!, thanks Flipcart",2026-06-25,https://www.flipkart.com/x/p/x?pid=TKPH5URAFZJ9YSGG,Flipkart Customer,t,0,India,2026-07-01 18:55:35.168+05:30,2026-07-02 14:52:55.988+05:30
100,Nutriglow,SNRE5FB4TUKHY9GR,39fc38ef20b664ca36f1b68e,5,Highly recommended,Good sunscreen,2026-06-26,https://www.flipkart.com/x/p/x?pid=SNRE5FB4TUKHY9GR,Renu Devi,t,0,India,2026-07-01 19:09:36.992+05:30,2026-07-02 15:28:51.556+05:30
101,Nutriglow,SNRE5FB4TUKHY9GR,d529642954d330a406b5bd43,4,Really Nice,Worth for the price 🙌🏻,2026-06-26,https://www.flipkart.com/x/p/x?pid=SNRE5FB4TUKHY9GR,AVINASH Reddy,t,0,India,2026-07-01 19:09:36.992+05:30,2026-07-02 15:28:51.556+05:30
1643,Pepe,BXRGRFHNSVU6JKXH,e78961af33e232127f633bd9,5,Fabulous!,"Excellent 
Good Work",2026-07-01,https://www.flipkart.com/x/p/x?pid=BXRGRFHNSVU6JKXH,Flipkart Customer,t,0,India,2026-08-05 13:48:35.997+05:30,2026-08-11 11:53:04.042+05:30
2162,Pepe,SRTHZA67CMV4HG5P,725f0d9400b311ed84f9e99a,5,Just wow!,"Very good quality,",2026-07-13,https://www.flipkart.com/x/p/x?pid=SRTHZA67CMV4HG5P,jayaprakashadikari adikari,t,0,India,2026-08-05 14:10:43.765+05:30,2026-08-11 14:27:51.491+05:30
6759,Pepe,SRTFFFUDGCPVKPJS,6734f68db1409cd2f7ab2d97,5,Perfect product!,Great 👍,2026-06-01,https://www.flipkart.com/x/p/x?pid=SRTFFFUDGCPVKPJS,Rakesh Bala samanta,t,0,India,2026-08-06 17:13:10.327+05:30,2026-08-07 14:02:08.138+05:30
2,Pepe,BXRGZJCWYYCZQ9PZ,d0aae1104bcad79a6ab23475,5,Worth every penny,The shorts is good looking and most important it is comfortable.,2026-06-22,https://www.flipkart.com/x/p/x?pid=BXRGZJCWYYCZQ9PZ,Ankit  Yadav,t,0,India,2026-07-01 18:36:45.986+05:30,2026-07-02 14:27:07.227+05:30
