platform,source_product_id,review_date,review_count,rating_sum,rating_1_count,rating_2_count,rating_3_count,rating_4_count,rating_5_count,positive_count,negative_count,neutral_count,helpful_count_sum,last_rebuilt_at
myntra,300006,2026-08-29,86,172,0,86,0,0,0,0,86,0,511,2026-08-20 14:07:43.527+05:30
myntra,300006,2026-08-27,86,172,0,86,0,0,0,0,86,0,511,2026-08-20 14:07:43.527+05:30
myntra,300006,2026-08-28,85,170,0,85,0,0,0,0,85,0,515,2026-08-20 14:07:43.527+05:30
myntra,300006,2026-08-24,86,172,0,86,0,0,0,0,86,0,516,2026-08-20 14:07:43.527+05:30
myntra,300006,2026-08-26,86,172,0,86,0,0,0,0,86,0,516,2026-08-20 14:07:43.527+05:30
myntra,300006,2026-08-25,105,210,0,105,0,0,0,0,105,0,625,2026-08-20 14:08:45.156+05:30
myntra,300006,2026-08-30,86,172,0,86,0,0,0,0,86,0,521,2026-08-20 14:07:43.527+05:30
myntra,300007,2026-08-29,85,255,0,0,85,0,0,0,0,85,600,2026-08-20 14:07:43.531+05:30
myntra,300007,2026-08-27,86,258,0,0,86,0,0,0,0,86,602,2026-08-20 14:07:43.531+05:30
myntra,300007,2026-08-28,86,258,0,0,86,0,0,0,0,86,597,2026-08-20 14:07:43.531+05:30
myntra,300007,2026-08-24,86,258,0,0,86,0,0,0,0,86,607,2026-08-20 14:07:43.531+05:30
myntra,300007,2026-08-26,85,255,0,0,85,0,0,0,0,85,595,2026-08-20 14:07:43.531+05:30
myntra,300007,2026-08-25,106,318,0,0,106,0,0,0,0,106,737,2026-08-20 14:08:45.169+05:30
myntra,300007,2026-08-30,86,258,0,0,86,0,0,0,0,86,597,2026-08-20 14:07:43.531+05:30
myntra,300008,2026-08-29,86,344,0,0,0,86,0,86,0,0,683,2026-08-20 14:07:43.536+05:30
myntra,300008,2026-08-27,85,340,0,0,0,85,0,85,0,0,680,2026-08-20 14:07:43.536+05:30
myntra,300008,2026-08-28,86,344,0,0,0,86,0,86,0,0,688,2026-08-20 14:07:43.536+05:30
myntra,300008,2026-08-24,86,344,0,0,0,86,0,86,0,0,683,2026-08-20 14:07:43.536+05:30
myntra,300008,2026-08-26,86,344,0,0,0,86,0,86,0,0,688,2026-08-20 14:07:43.536+05:30
myntra,300008,2026-08-25,106,424,0,0,0,106,0,106,0,0,848,2026-08-20 14:08:45.174+05:30
myntra,300008,2026-08-30,85,340,0,0,0,85,0,85,0,0,685,2026-08-20 14:07:43.536+05:30
myntra,300009,2026-08-29,86,430,0,0,0,0,86,86,0,0,774,2026-08-20 14:07:43.54+05:30
myntra,300009,2026-08-27,86,430,0,0,0,0,86,86,0,0,774,2026-08-20 14:07:43.54+05:30
myntra,300009,2026-08-28,85,425,0,0,0,0,85,85,0,0,765,2026-08-20 14:07:43.54+05:30
myntra,300009,2026-08-24,85,425,0,0,0,0,85,85,0,0,770,2026-08-20 14:07:43.54+05:30
myntra,300009,2026-08-26,86,430,0,0,0,0,86,86,0,0,779,2026-08-20 14:07:43.54+05:30
myntra,300009,2026-08-25,106,530,0,0,0,0,106,106,0,0,944,2026-08-20 14:08:45.179+05:30
myntra,300009,2026-08-30,86,430,0,0,0,0,86,86,0,0,769,2026-08-20 14:07:43.54+05:30
myntra,300010,2026-08-29,85,85,85,0,0,0,0,0,85,0,430,2026-08-20 14:07:43.544+05:30
myntra,300010,2026-08-27,86,86,86,0,0,0,0,0,86,0,430,2026-08-20 14:07:43.544+05:30
flipkart,TSHHCKSGPGYUQY9G,2026-07-13,1,5,0,0,0,0,1,1,0,0,0,2026-08-19 20:00:40.818952+05:30
myntra,300010,2026-08-28,86,86,86,0,0,0,0,0,86,0,425,2026-08-20 14:07:43.544+05:30
flipkart,TSHHHJRARG5VGWZC,2026-07-11,1,5,0,0,0,0,1,1,0,0,0,2026-08-19 20:00:40.818952+05:30
myntra,300010,2026-08-24,86,86,86,0,0,0,0,0,86,0,435,2026-08-20 14:07:43.544+05:30
myntra,300010,2026-08-26,86,86,86,0,0,0,0,0,86,0,435,2026-08-20 14:07:43.544+05:30
myntra,300010,2026-08-25,105,105,105,0,0,0,0,0,105,0,525,2026-08-20 14:08:45.184+05:30
myntra,300010,2026-08-30,86,86,86,0,0,0,0,0,86,0,425,2026-08-20 14:07:43.544+05:30
myntra,300011,2026-08-29,86,172,0,86,0,0,0,0,86,0,511,2026-08-20 14:07:43.548+05:30
flipkart,BXRHC6D3GGAB6HGP,2026-01-01,4,19,0,0,0,1,3,4,0,0,0,2026-08-19 20:00:40.818952+05:30
myntra,300011,2026-08-27,86,172,0,86,0,0,0,0,86,0,521,2026-08-20 14:07:43.548+05:30
myntra,300011,2026-08-28,86,172,0,86,0,0,0,0,86,0,516,2026-08-20 14:07:43.548+05:30
myntra,300011,2026-08-24,86,172,0,86,0,0,0,0,86,0,511,2026-08-20 14:07:43.548+05:30
myntra,300011,2026-08-26,85,170,0,85,0,0,0,0,85,0,505,2026-08-20 14:07:43.548+05:30
