platform,source_product_id,brand,brand_inconsistent,product_url,first_review_date,last_review_date,total_review_count,last_rebuilt_at
flipkart,AFKGFYDYGVXGB5R5,Nutriglow,f,https://www.flipkart.com/x/p/x?pid=AFKGFYDYGVXGB5R5,2026-02-01,2026-08-01,6,2026-08-19 20:00:40.818952+05:30
flipkart,BRFFFFSV3HYFVG3K,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFFFFSV3HYFVG3K,2025-10-01,2026-07-01,4,2026-08-19 20:00:40.818952+05:30
flipkart,BRFFFFSV75AEABXU,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFFFFSV75AEABXU,2026-06-21,2026-06-21,1,2026-08-19 20:00:40.818952+05:30
flipkart,BRFFFFSVPTUYVHFF,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFFFFSVPTUYVHFF,2025-10-01,2026-07-01,3,2026-08-19 20:00:40.818952+05:30
flipkart,BRFFFFSVSXRZYFDF,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFFFFSVSXRZYFDF,2025-10-01,2026-07-01,3,2026-08-19 20:00:40.818952+05:30
flipkart,BRFFFFSVZH5NTPFM,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFFFFSVZH5NTPFM,2026-06-21,2026-06-21,1,2026-08-19 20:00:40.818952+05:30
flipkart,BRFG5S4FKDZVGBTN,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFG5S4FKDZVGBTN,2026-05-01,2026-05-01,1,2026-08-19 20:00:40.818952+05:30
flipkart,BRFGCV4VG7FF6ZSA,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFGCV4VG7FF6ZSA,2025-10-01,2025-11-01,3,2026-08-19 20:00:40.818952+05:30
flipkart,BRFGD7GARARCGURT,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFGD7GARARCGURT,2026-01-01,2026-01-01,1,2026-08-19 20:00:40.818952+05:30
flipkart,BRFGE32PMW5S6RM9,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFGE32PMW5S6RM9,2025-09-01,2025-12-01,2,2026-08-19 20:00:40.818952+05:30
flipkart,BRFGKD9AK6H2KK6Y,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFGKD9AK6H2KK6Y,2026-01-01,2026-02-01,2,2026-08-19 20:00:40.818952+05:30
flipkart,BRFHCBZ4PMXZYRRZ,Pepe,f,https://www.flipkart.com/x/p/x?pid=BRFHCBZ4PMXZYRRZ,2026-07-25,2026-07-25,1,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGE9FTZJ7RTHME,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGE9FTZJ7RTHME,2026-06-01,2026-06-25,11,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHNAHFPSTSB,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHNAHFPSTSB,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHNGYGVXSHX,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHNGYGVXSHX,2025-09-01,2026-08-08,26,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHNSVU6JKXH,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHNSVU6JKXH,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZ6RH2KZWD,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZ6RH2KZWD,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZ8VB6UZR3,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZ8VB6UZR3,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZATAPYBDY,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZATAPYBDY,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZCVHHZTGY,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZCVHHZTGY,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZCXZP6VP8,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZCXZP6VP8,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZDKCCHGCH,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZDKCCHGCH,2025-09-01,2026-08-08,26,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZE7HPWZVS,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZE7HPWZVS,2025-09-01,2026-08-08,26,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZECWSEYJZ,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZECWSEYJZ,2025-09-01,2026-08-08,26,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZGBUYPHVS,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZGBUYPHVS,2025-09-01,2026-08-06,20,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZHHH9XBES,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZHHH9XBES,2026-06-28,2026-06-28,1,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZMPDXZWY7,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZMPDXZWY7,2025-09-01,2026-08-08,26,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZNQNZARUM,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZNQNZARUM,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZZBHHZDXP,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZZBHHZDXP,2026-06-28,2026-06-28,1,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFHZZKF8JG49,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFHZZKF8JG49,2025-09-01,2026-08-08,26,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFMQAJVB8HKM,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFMQAJVB8HKM,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFMQGMS7H6FH,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFMQGMS7H6FH,2026-06-28,2026-06-28,1,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFMQGMZFEGNJ,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFMQGMZFEGNJ,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFMQHGNKWPEY,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFMQHGNKWPEY,2025-09-01,2026-08-08,26,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFMQHQHQPFJZ,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFMQHQHQPFJZ,2025-09-01,2026-08-08,26,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFMQVPRAX7QU,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFMQVPRAX7QU,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFMQXVGVCHTX,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFMQXVGVCHTX,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFMQYHQS4BM7,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFMQYHQS4BM7,2025-09-01,2026-08-08,27,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGRFMQYKUB9K5S,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGRFMQYKUB9K5S,2025-09-01,2026-08-08,26,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGZJCWFM47ZXAB,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGZJCWFM47ZXAB,2025-09-01,2026-08-03,80,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGZJCWRGRQZUPY,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGZJCWRGRQZUPY,2026-06-01,2026-06-22,3,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGZJCWSKK9RSYE,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGZJCWSKK9RSYE,2025-09-01,2026-08-03,80,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGZJCWTRB2DDZH,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGZJCWTRB2DDZH,2025-09-01,2026-08-03,80,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGZJCWUYJDVF9M,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGZJCWUYJDVF9M,2026-06-01,2026-06-22,3,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGZJCWYYCZQ9PZ,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGZJCWYYCZQ9PZ,2025-09-01,2026-08-02,79,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5S7X8D9ZSS,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5S7X8D9ZSS,2026-06-07,2026-06-07,1,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SF88MYEM4,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SF88MYEM4,2025-09-01,2026-07-29,20,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SFQQVTYE9,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SFQQVTYE9,2026-06-07,2026-06-07,1,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SGFUP77YP,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SGFUP77YP,2025-09-01,2026-07-29,20,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SGPFYRGVV,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SGPFYRGVV,2025-09-01,2026-07-29,20,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SJRAGFHXT,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SJRAGFHXT,2025-09-01,2026-07-29,20,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SKAPWZYHQ,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SKAPWZYHQ,2025-09-01,2026-07-29,19,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SMYCHTMF8,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SMYCHTMF8,2025-09-01,2026-07-29,19,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SSU8DYVH5,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SSU8DYVH5,2025-09-01,2026-07-29,20,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SSXWGWGSD,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SSXWGWGSD,2025-09-01,2026-07-29,20,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SWTEMKHPG,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SWTEMKHPG,2025-09-01,2026-07-29,19,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SZGUTXVQM,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SZGUTXVQM,2025-09-01,2026-07-29,20,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH2W5SZQ2NVMUV,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH2W5SZQ2NVMUV,2025-09-01,2026-07-29,20,2026-08-19 20:00:40.818952+05:30
flipkart,BXRH8ZQZMEXQSX4N,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRH8ZQZMEXQSX4N,2025-09-01,2026-06-21,16,2026-08-19 20:00:40.818952+05:30
flipkart,BXRGZJCWEGYGEC3V,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRGZJCWEGYGEC3V,2025-09-01,2026-08-03,80,2026-08-19 20:00:40.818952+05:30
flipkart,BXRHC6D2CUYE86JJ,Pepe,f,https://www.flipkart.com/x/p/x?pid=BXRHC6D2CUYE86JJ,2026-06-01,2026-06-29,9,2026-08-19 20:00:40.818952+05:30
